Deal ID,31 August 2016,01 September 2016,09 September 2016,20 September 2016,30 September 2016,03 October 2016,10 October 2016,17 October 2016,24 October 2016,28 October 2016,31 October 2016
DEALIS17," 80,85,000.00 "," 81,65,850.00 "," 83,29,167.00 "," 81,62,583.66 "," 84,07,461.17 "," 71,46,341.99 "," 82,89,756.71 "," 80,41,064.01 "," 77,19,421.45 "," 73,33,450.38 "," 78,46,791.91 "
DEALIS18," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS19," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS20," 80,85,000.00 "," 81,65,850.00 "," 83,29,167.00 "," 81,62,583.66 "," 84,07,461.17 "," 71,46,341.99 "," 82,89,756.71 "," 80,41,064.01 "," 77,19,421.45 "," 73,33,450.38 "," 78,46,791.91 "
DEALIS21," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS22," 1,57,50,000.00 "," 1,59,07,500.00 "," 1,62,25,650.00 "," 1,70,36,932.50 "," 1,72,07,301.83 "," 1,97,88,397.10 "," 2,05,79,932.98 "," 1,85,21,939.68 "," 1,77,81,062.10 "," 1,81,36,683.34 "," 1,72,29,849.17 "
DEALIS23," 1,61,70,000.00 "," 1,63,31,700.00 "," 1,66,58,334.00 "," 1,63,25,167.32 "," 1,68,14,922.34 "," 1,42,92,683.99 "," 1,65,79,513.43 "," 1,60,82,128.02 "," 1,54,38,842.90 "," 1,46,66,900.76 "," 1,56,93,583.81 "
DEALIS24," 2,10,00,000.00 "," 2,12,10,000.00 "," 2,16,34,200.00 "," 2,27,15,910.00 "," 2,29,43,069.10 "," 2,63,84,529.47 "," 2,74,39,910.64 "," 2,46,95,919.58 "," 2,37,08,082.80 "," 2,41,82,244.45 "," 2,29,73,132.23 "
DEALIS25," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS26," 1,61,70,000.00 "," 1,63,31,700.00 "," 1,66,58,334.00 "," 1,63,25,167.32 "," 1,68,14,922.34 "," 1,42,92,683.99 "," 1,65,79,513.43 "," 1,60,82,128.02 "," 1,54,38,842.90 "," 1,46,66,900.76 "," 1,56,93,583.81 "
DEALIS27," 2,10,00,000.00 "," 2,12,10,000.00 "," 2,16,34,200.00 "," 2,27,15,910.00 "," 2,29,43,069.10 "," 2,63,84,529.47 "," 2,74,39,910.64 "," 2,46,95,919.58 "," 2,37,08,082.80 "," 2,41,82,244.45 "," 2,29,73,132.23 "
DEALIS28," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS29," 1,61,70,000.00 "," 1,63,31,700.00 "," 1,66,58,334.00 "," 1,63,25,167.32 "," 1,68,14,922.34 "," 1,42,92,683.99 "," 1,65,79,513.43 "," 1,60,82,128.02 "," 1,54,38,842.90 "," 1,46,66,900.76 "," 1,56,93,583.81 "
DEALFS01," 50,000.00 "," 50,500.00 "," 53,025.00 "," 54,085.50 "," 55,708.07 "," 50,137.26 "," 51,140.00 "," 52,674.20 "," 53,727.69 "," 45,668.53 "," 47,038.59 "
DEALFS02," 88,888.89 "," 89,777.78 "," 93,368.89 "," 96,169.96 "," 1,00,016.75 "," 1,02,017.09 "," 99,976.75 "," 95,977.68 "," 1,07,495.00 "," 1,11,794.80 "," 1,15,148.64 "
DEALFS03," 45,454.55 "," 45,909.09 "," 47,286.36 "," 49,177.82 "," 50,161.37 "," 49,158.15 "," 51,124.47 "," 49,079.49 "," 50,551.88 "," 49,540.84 "," 50,036.25 "
DEALFS04," 64,935.06 "," 65,584.42 "," 67,551.95 "," 70,254.03 "," 71,659.11 "," 70,225.92 "," 73,034.96 "," 70,113.56 "," 72,216.97 "," 70,772.63 "," 71,480.36 "
DEALFS05," 50,000.00 "," 50,500.00 "," 53,025.00 "," 54,085.50 "," 55,708.07 "," 50,137.26 "," 51,140.00 "," 52,674.20 "," 53,727.69 "," 45,668.53 "," 47,038.59 "
DEALFS06," 72,222.22 "," 72,944.44 "," 75,862.22 "," 78,138.09 "," 81,263.61 "," 82,888.88 "," 81,231.11 "," 77,981.86 "," 87,339.69 "," 90,833.27 "," 93,558.27 "
DEALFS07," 83,333.33 "," 84,166.67 "," 87,533.33 "," 90,159.33 "," 93,765.71 "," 95,641.02 "," 93,728.20 "," 89,979.07 "," 1,00,776.56 "," 1,04,807.62 "," 1,07,951.85 "
DEALFS08," 58,441.56 "," 59,025.97 "," 60,796.75 "," 63,228.62 "," 64,493.20 "," 63,203.33 "," 65,731.47 "," 63,102.21 "," 64,995.27 "," 63,695.37 "," 64,332.32 "
DEALFS09," 61,111.11 "," 61,722.22 "," 64,191.11 "," 66,116.84 "," 68,761.52 "," 70,136.75 "," 68,734.01 "," 65,984.65 "," 73,902.81 "," 76,858.92 "," 79,164.69 "
DEALFS10," 11,111.11 "," 11,222.22 "," 11,671.11 "," 12,021.24 "," 12,502.09 "," 12,752.14 "," 12,497.09 "," 11,997.21 "," 13,436.87 "," 13,974.35 "," 14,393.58 "
DEALFS11," 25,000.00 "," 25,250.00 "," 26,512.50 "," 27,042.75 "," 27,854.03 "," 25,068.63 "," 25,570.00 "," 26,337.10 "," 26,863.84 "," 22,834.27 "," 23,519.30 "
DEALFS12," 38,961.04 "," 39,350.65 "," 40,531.17 "," 42,152.42 "," 42,995.46 "," 42,135.55 "," 43,820.98 "," 42,068.14 "," 43,330.18 "," 42,463.58 "," 42,888.21 "
DEALFS13," 32,467.53 "," 32,792.21 "," 33,775.97 "," 35,127.01 "," 35,829.55 "," 35,112.96 "," 36,517.48 "," 35,056.78 "," 36,108.48 "," 35,386.32 "," 35,740.18 "
DEALFS14," 75,000.00 "," 75,750.00 "," 79,537.50 "," 81,128.25 "," 83,562.10 "," 75,205.89 "," 76,710.01 "," 79,011.31 "," 80,591.53 "," 68,502.80 "," 70,557.89 "
DEALFS15," 55,000.00 "," 55,550.00 "," 58,327.50 "," 59,494.05 "," 61,278.87 "," 55,150.98 "," 56,254.00 "," 57,941.62 "," 59,100.46 "," 50,235.39 "," 51,742.45 "
DEALFS16," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS17," 25,974.03 "," 26,233.77 "," 27,020.78 "," 28,101.61 "," 28,663.64 "," 28,090.37 "," 29,213.98 "," 28,045.43 "," 28,886.79 "," 28,309.05 "," 28,592.14 "
DEALFS18," 19,480.52 "," 19,675.32 "," 20,265.58 "," 21,076.21 "," 21,497.73 "," 21,067.78 "," 21,910.49 "," 21,034.07 "," 21,665.09 "," 21,231.79 "," 21,444.11 "
DEALFS19," 40,000.00 "," 40,400.00 "," 42,420.00 "," 43,268.40 "," 44,566.45 "," 40,109.81 "," 40,912.00 "," 42,139.36 "," 42,982.15 "," 36,534.83 "," 37,630.87 "
DEALFS20," 1,11,111.11 "," 1,12,222.22 "," 1,16,711.11 "," 1,20,212.44 "," 1,25,020.94 "," 1,27,521.36 "," 1,24,970.93 "," 1,19,972.10 "," 1,34,368.75 "," 1,39,743.50 "," 1,43,935.80 "
DEALFS21," 30,000.00 "," 30,300.00 "," 31,815.00 "," 32,451.30 "," 33,424.84 "," 30,082.36 "," 30,684.00 "," 31,604.52 "," 32,236.61 "," 27,401.12 "," 28,223.15 "
DEALFS22," 1,11,111.11 "," 1,12,222.22 "," 1,16,711.11 "," 1,20,212.44 "," 1,25,020.94 "," 1,27,521.36 "," 1,24,970.93 "," 1,19,972.10 "," 1,34,368.75 "," 1,39,743.50 "," 1,43,935.80 "
DEALFS23," 1,03,896.10 "," 1,04,935.06 "," 1,08,083.12 "," 1,12,406.44 "," 1,14,654.57 "," 1,12,361.48 "," 1,16,855.94 "," 1,12,181.70 "," 1,15,547.15 "," 1,13,236.21 "," 1,14,368.57 "
DEALFS24," 1,00,000.00 "," 1,01,000.00 "," 1,06,050.00 "," 1,08,171.00 "," 1,11,416.13 "," 1,00,274.52 "," 1,02,280.01 "," 1,05,348.41 "," 1,07,455.38 "," 91,337.07 "," 94,077.18 "
DEALFS25," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS26," 97,402.60 "," 98,376.62 "," 1,01,327.92 "," 1,05,381.04 "," 1,07,488.66 "," 1,05,338.89 "," 1,09,552.44 "," 1,05,170.34 "," 1,08,325.45 "," 1,06,158.95 "," 1,07,220.54 "
DEALFS27," 83,333.33 "," 84,166.67 "," 87,533.33 "," 90,159.33 "," 93,765.71 "," 95,641.02 "," 93,728.20 "," 89,979.07 "," 1,00,776.56 "," 1,04,807.62 "," 1,07,951.85 "
DEALFS28," 1,29,870.13 "," 1,31,168.83 "," 1,35,103.90 "," 1,40,508.05 "," 1,43,318.21 "," 1,40,451.85 "," 1,46,069.92 "," 1,40,227.13 "," 1,44,433.94 "," 1,41,545.26 "," 1,42,960.71 "
DEALFS29," 50,000.00 "," 50,500.00 "," 53,025.00 "," 54,085.50 "," 55,708.07 "," 50,137.26 "," 51,140.00 "," 52,674.20 "," 53,727.69 "," 45,668.53 "," 47,038.59 "
DEALFS30," 30,000.00 "," 30,300.00 "," 31,815.00 "," 32,451.30 "," 33,424.84 "," 30,082.36 "," 30,684.00 "," 31,604.52 "," 32,236.61 "," 27,401.12 "," 28,223.15 "
DEALFS31," 10,000.00 "," 10,100.00 "," 10,605.00 "," 10,817.10 "," 11,141.61 "," 10,027.45 "," 10,228.00 "," 10,534.84 "," 10,745.54 "," 9,133.71 "," 9,407.72 "
DEALFS32," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS33," 1,10,389.61 "," 1,11,493.51 "," 1,14,838.31 "," 1,19,431.84 "," 1,21,820.48 "," 1,19,384.07 "," 1,24,159.43 "," 1,19,193.06 "," 1,22,768.85 "," 1,20,313.47 "," 1,21,516.61 "
DEALFS34," 15,000.00 "," 15,150.00 "," 15,907.50 "," 16,225.65 "," 16,712.42 "," 15,041.18 "," 15,342.00 "," 15,802.26 "," 16,118.31 "," 13,700.56 "," 14,111.58 "
DEALFS35," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS36," 84,415.58 "," 85,259.74 "," 87,817.53 "," 91,330.23 "," 93,156.84 "," 91,293.70 "," 94,945.45 "," 91,147.63 "," 93,882.06 "," 92,004.42 "," 92,924.46 "
DEALFS37," 30,000.00 "," 30,300.00 "," 31,815.00 "," 32,451.30 "," 33,424.84 "," 30,082.36 "," 30,684.00 "," 31,604.52 "," 32,236.61 "," 27,401.12 "," 28,223.15 "
DEALFS38," 1,16,883.12 "," 1,18,051.95 "," 1,21,593.51 "," 1,26,457.25 "," 1,28,986.39 "," 1,26,406.66 "," 1,31,462.93 "," 1,26,204.41 "," 1,29,990.55 "," 1,27,390.73 "," 1,28,664.64 "
DEALFS39," 83,333.33 "," 84,166.67 "," 87,533.33 "," 90,159.33 "," 93,765.71 "," 95,641.02 "," 93,728.20 "," 89,979.07 "," 1,00,776.56 "," 1,04,807.62 "," 1,07,951.85 "
DEALFS40," 38,961.04 "," 39,350.65 "," 40,531.17 "," 42,152.42 "," 42,995.46 "," 42,135.55 "," 43,820.98 "," 42,068.14 "," 43,330.18 "," 42,463.58 "," 42,888.21 "
DEALFS41," 40,000.00 "," 40,400.00 "," 42,420.00 "," 43,268.40 "," 44,566.45 "," 40,109.81 "," 40,912.00 "," 42,139.36 "," 42,982.15 "," 36,534.83 "," 37,630.87 "
DEALFS42," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS43," 71,428.57 "," 72,142.86 "," 74,307.14 "," 77,279.43 "," 78,825.02 "," 77,248.52 "," 80,338.46 "," 77,124.92 "," 79,438.67 "," 77,849.89 "," 78,628.39 "
DEALFS44," 80,000.00 "," 80,800.00 "," 84,840.00 "," 86,536.80 "," 89,132.90 "," 80,219.61 "," 81,824.01 "," 84,278.73 "," 85,964.30 "," 73,069.66 "," 75,261.75 "
DEALFS45," 55,555.56 "," 56,111.11 "," 58,355.56 "," 60,106.22 "," 62,510.47 "," 63,760.68 "," 62,485.47 "," 59,986.05 "," 67,184.37 "," 69,871.75 "," 71,967.90 "
DEALFS46," 64,935.06 "," 65,584.42 "," 67,551.95 "," 70,254.03 "," 71,659.11 "," 70,225.92 "," 73,034.96 "," 70,113.56 "," 72,216.97 "," 70,772.63 "," 71,480.36 "
DEALFS47," 50,000.00 "," 50,500.00 "," 53,025.00 "," 54,085.50 "," 55,708.07 "," 50,137.26 "," 51,140.00 "," 52,674.20 "," 53,727.69 "," 45,668.53 "," 47,038.59 "
DEALFS48," 83,333.33 "," 84,166.67 "," 87,533.33 "," 90,159.33 "," 93,765.71 "," 95,641.02 "," 93,728.20 "," 89,979.07 "," 1,00,776.56 "," 1,04,807.62 "," 1,07,951.85 "
